time	V(vo_rec)
2.796748025378785e-005	2.497923e+000
2.796883087428887e-005	2.496805e+000
2.797018149478990e-005	2.495687e+000
2.797153211529092e-005	2.494569e+000
2.797288273579194e-005	2.493450e+000
2.797423335629297e-005	2.492332e+000
2.797558397679399e-005	2.491213e+000
2.797693459729501e-005	2.490093e+000
2.797950282716276e-005	2.487965e+000
2.798058134689736e-005	2.487071e+000
2.798165986663195e-005	2.486177e+000
2.798273838636654e-005	2.485282e+000
2.798381690610114e-005	2.484388e+000
2.798489542583574e-005	2.483493e+000
2.798597394557033e-005	2.482598e+000
2.798705246530492e-005	2.481703e+000
2.798728542165105e-005	2.481510e+000
2.798751837799719e-005	2.481317e+000
2.798775133434332e-005	2.481123e+000
2.798798429068945e-005	2.480930e+000
2.798821724703558e-005	2.480737e+000
2.798845020338171e-005	2.480543e+000
2.798868315972784e-005	2.480350e+000
2.798911919421384e-005	2.479988e+000
2.798921094243084e-005	2.479912e+000
2.798930269064783e-005	2.479836e+000
2.798939443886482e-005	2.479760e+000
2.798948618708182e-005	2.479683e+000
2.798957793529881e-005	2.479607e+000
2.798966968351580e-005	2.479531e+000
2.798976143173280e-005	2.479455e+000
2.798989074918362e-005	2.479348e+000
2.799002006663445e-005	2.479240e+000
2.799014938408528e-005	2.479133e+000
2.799027870153610e-005	2.479026e+000
2.799040801898693e-005	2.478918e+000
2.799053733643775e-005	2.478811e+000
2.799066665388858e-005	2.478703e+000
2.799093221628951e-005	2.478483e+000
2.799119777869043e-005	2.478262e+000
2.799146334109136e-005	2.478042e+000
2.799172890349228e-005	2.477821e+000
2.799199446589321e-005	2.477601e+000
2.799226002829414e-005	2.477380e+000
2.799252559069506e-005	2.477160e+000
2.799304764337192e-005	2.476726e+000
2.799356969604877e-005	2.476293e+000
2.799409174872562e-005	2.475859e+000
2.799461380140248e-005	2.475426e+000
2.799513585407933e-005	2.474992e+000
2.799565790675618e-005	2.474558e+000
2.799617995943303e-005	2.474125e+000
2.799767612601536e-005	2.472882e+000
2.799917229259769e-005	2.471638e+000
2.800066845918002e-005	2.470395e+000
2.800216462576235e-005	2.469151e+000
2.800366079234468e-005	2.467907e+000
2.800515695892701e-005	2.466662e+000
2.800665312550934e-005	2.465418e+000
2.801108986153541e-005	2.461726e+000
